Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
8/17/2018 5:36,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:37,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:38,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:42,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
8/17/2018 5:44,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
8/17/2018 5:50,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:53,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 6:04,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 6:04,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 6:05,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 6:08,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
8/17/2018 6:09,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
8/17/2018 6:09,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 6:10,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
8/17/2018 6:10,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 6:11,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 6:14,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
8/17/2018 6:16,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
8/17/2018 6:17,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
8/17/2018 7:17,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 7:18,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 7:20,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 8:02,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 8:18,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 8:19,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
8/17/2018 8:29,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
8/17/2018 9:26,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 9:27,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 9:29,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
